date,BTC-USD,fng_value,confidence
2021-09-27,42235.73046875,26,0.6686
2021-09-28,41034.54296875,25,0.6554
2021-09-29,41564.36328125,24,0.6452
2021-09-30,43790.89453125,20,0.665
2021-10-01,48116.94140625,27,0.672
2021-10-02,47711.48828125,54,0.711
2021-10-03,48199.953125,49,0.703
2021-10-04,49112.90234375,54,0.7042
2021-10-05,51514.8125,59,0.7131
2021-10-06,55361.44921875,68,0.7173
2021-10-07,53805.984375,76,0.7455
2021-10-08,53967.84765625,74,0.7413
2021-10-09,54968.22265625,72,0.7528
2021-10-10,54771.578125,71,0.7599
2021-10-11,57484.7890625,71,0.7589
2021-10-12,56041.05859375,78,0.7649
2021-10-13,57401.09765625,70,0.7807
2021-10-14,57321.5234375,70,0.7679
2021-10-15,61593.94921875,71,0.7726
2021-10-16,60892.1796875,78,0.7866
2021-10-17,61553.6171875,79,0.7984
2021-10-18,62026.078125,78,0.7982
2021-10-19,64261.9921875,75,0.8037
2021-10-20,65992.8359375,82,0.8111
2021-10-21,62210.171875,84,0.8133
2021-10-22,60692.265625,75,0.8087
2021-10-23,61393.6171875,74,0.7959
2021-10-24,60930.8359375,73,0.7991
2021-10-25,63039.82421875,72,0.8097
2021-10-26,60363.79296875,76,0.8042
2021-10-27,58482.38671875,73,0.7998
2021-10-28,60622.13671875,66,0.7867
2021-10-29,62227.96484375,70,0.7975
2021-10-30,61888.83203125,73,0.7989
2021-10-31,61318.95703125,74,0.7913
2021-11-01,61004.40625,74,0.7942
2021-11-02,63226.40234375,73,0.7944
2021-11-03,62970.046875,76,0.7998
2021-11-04,61452.23046875,73,0.7943
2021-11-05,61125.67578125,73,0.7951
2021-11-06,61527.48046875,71,0.791
2021-11-07,63326.98828125,73,0.7929
2021-11-08,67566.828125,75,0.7948
2021-11-09,66971.828125,84,0.8167
2021-11-10,64995.23046875,75,0.8151
2021-11-11,64949.9609375,77,0.8098
2021-11-12,64155.94140625,74,0.7999
2021-11-13,64469.52734375,72,0.8022
2021-11-14,65466.83984375,74,0.8051
2021-11-15,63557.87109375,72,0.8099
2021-11-16,60161.24609375,71,0.8001
2021-11-17,60368.01171875,52,0.7841
2021-11-18,56942.13671875,54,0.776
2021-11-19,58119.578125,34,0.7607
2021-11-20,59697.1953125,43,0.764
2021-11-21,58730.4765625,49,0.7626
2021-11-22,56289.2890625,50,0.7612
2021-11-23,57569.07421875,33,0.7445
2021-11-24,56280.42578125,42,0.7553
2021-11-25,57274.6796875,32,0.7416
2021-11-26,53569.765625,47,0.7452
2021-11-27,54815.078125,21,0.7355
2021-11-28,57248.45703125,27,0.7335
2021-11-29,57806.56640625,33,0.7429
2021-11-30,57005.42578125,40,0.7424
2021-12-01,57229.828125,34,0.7409
2021-12-02,56477.81640625,32,0.7493
2021-12-03,53598.24609375,31,0.7399
2021-12-04,49200.703125,25,0.7168
2021-12-05,49368.84765625,18,0.7037
2021-12-06,50582.625,16,0.7035
2021-12-07,50700.0859375,25,0.7022
2021-12-08,50504.796875,28,0.7087
2021-12-09,47672.12109375,29,0.6983
2021-12-10,47243.3046875,24,0.6771
2021-12-11,49362.5078125,16,0.664
2021-12-12,50098.3359375,27,0.6656
2021-12-13,46737.48046875,28,0.6675
2021-12-14,46612.6328125,21,0.6546
2021-12-15,48896.72265625,28,0.656
2021-12-16,47665.42578125,29,0.6431
2021-12-17,46202.14453125,23,0.6488
